sample	lesion_area
SRR12750726_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750735_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750736_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750737_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750738_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750739_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750740_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750742_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750743_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750744_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750745_V3-V4_amplicon_sequencing_of_Homo_sapiens_Well_differentiated_OSCC_1.fastq.gz	cancerous are
SRR12750757_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750759_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750760_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750762_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750763_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750764_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750765_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750767_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
SRR12750768_V3-V4_amplicon_sequencing_of_Homo_sapiens_Normal_Oral_Squamus_cells_1.fastq.gz	normal area
